       Omega           X           Y   Intensity
      846.00     1518.00     1047.00      88.921
      857.00     1518.00     1048.00      81.042
      869.00     1518.00     1048.00      84.419
      879.00     1518.00     1048.00      84.419
      901.00     1518.00     1049.00      74.289
      904.00     1518.00     1048.00      74.289
      916.00     1518.00     1050.00      73.163
      817.00     1837.00      489.00     361.312
      816.00      511.00     1257.00      68.661
      825.00      511.00     1257.00      65.284
      837.00      584.00      433.00    1410.357
      861.00      598.00      423.00    1983.279
      904.00      592.00      428.00     696.736
      918.00      588.00      431.00    1951.763
      837.00      636.00      141.00     347.805
      844.00     1823.00      468.00     263.387
      853.00      471.00     1516.00     494.131
      860.00     1252.00     1318.00     284.773
      880.00     1224.00     1597.00     237.498
      883.00      751.00     1271.00     115.935
      889.00      752.00     1271.00     114.810
      897.00      623.00      146.00     488.503
      897.00      743.00     1559.00     141.824
      897.00     1713.00     1716.50      66.409
      895.00     1864.00      224.00      69.786
      909.00      564.00      446.00     163.210
      909.00     1111.00      471.00     104.679
      915.00      730.00     1552.00     124.940
      918.00      327.00      417.00     135.070
      918.00     1561.00      515.00      79.916
      939.00      106.00       94.00     182.345
      933.00      468.00     1818.00     219.489
      981.00      476.00     1824.00     610.067
      928.00      485.00     1534.00     284.773
      932.00      500.00     1549.00     942.114
      948.00      487.00     1535.00     990.514
      981.00      496.00     1544.00     865.574
      999.00      515.00     1563.00     118.186
     1030.00      502.00     1549.00    2167.875
     1043.00      512.00     1560.00     617.946
      988.00      512.00     1258.00     867.825
     1032.00      523.00     1282.00    1410.357
     1039.00      524.00     1283.00    1403.603
     1040.00      518.00     1270.00    2851.104
      928.00      584.00      434.00     418.717
      939.00      573.00      441.00    1995.660
      932.00     1083.00      480.00   16377.246
      951.00     1075.00      481.00    6361.800
      966.00     1074.00      479.00    1930.376
      982.00     1050.00      477.00    3084.100
      987.00     1073.00      478.00    3209.040
     1000.50     1071.00      480.00   16378.372
     1022.00     1056.00      478.00   16381.749
      929.00     1517.00     1065.00     144.075
      932.50     1516.00     1078.00      64.158
      933.00     1517.00     1075.00      64.158
      939.00     1516.00     1066.00     140.698
      939.00     1516.00     1078.00      65.284
      945.00     1516.00     1066.00     139.572
      953.00     1516.00     1078.00      59.656
      954.00     1515.00     1066.00     128.317
      967.00     1516.00     1067.50     105.805
      975.00     1516.00     1066.00     102.428
     1002.00     1516.00     1069.00      77.665
     1017.00     1515.00     1071.00      65.284
     1028.00     1516.00     1071.00      65.284
      932.00     1518.00     1051.00      70.912
      939.00     1518.00     1050.00      67.535
      950.00     1518.00     1051.00      66.409
      959.00     1518.00     1051.00      61.907
      945.50      758.00     1279.00     276.894
      960.00      766.00     1287.00     159.833
      973.00      759.00     1280.00     149.703
      939.00     1996.00     1680.00      81.042
      945.00     1997.00     1680.00      94.549
      951.00     1993.00     1684.00      87.796
      967.00     1989.00     1689.00      56.279
      938.00     1041.00      465.00     150.828
      948.00     1328.00      507.00     196.977
      954.00      254.00     1541.00      78.791
      975.00     1579.00      535.00     520.020
      981.00     1581.00      536.00     459.238
      967.00     1727.50     1701.00     183.470
      978.00     1100.00      470.00     182.345
      969.67     1048.67      466.67      82.168
      981.00      584.00      164.00     576.299
      999.00     1084.00      468.00     408.587
     1011.00     1212.00     1950.00     548.159
     1038.00     1295.00      775.00     276.894
     1046.00      339.00      335.00      86.670
     1047.00      513.00     1561.00    1261.780
     1060.00      767.00     1287.00     375.945
     1077.00      772.00     1292.00     231.870
     1051.00     1235.00     1944.00     581.927
     1068.00     1213.00     1950.00     639.332
     1076.00     1234.00     1944.00     156.456
     1046.00     1270.00     1048.00      68.661
     1052.00     1270.00     1048.00      70.912
     1061.00     1270.00     1047.00      65.284
     1069.00     1270.00     1048.00      69.786
     1044.00     1294.00      774.00     136.196
     1044.00     1567.00      524.00     603.313
     1046.00     1553.00      507.00    1229.138
     1068.00     1567.00      521.00    1646.729
     1098.00     1559.00      514.00     707.992
     1116.00     1535.00      489.00     160.959
     1118.00     1556.00      509.00     294.903
     1147.00     1553.00      506.00    1885.353
     1159.00     1541.00      494.00     889.211
     1044.00     1730.00     1702.00     174.466
     1045.00     1741.00     1688.00     112.558
     1056.00      557.00      716.00      67.535
     1086.00     1298.00      488.00     204.856
     1087.00     1369.00     1475.00     100.177
     1083.00     2016.00     1414.00      61.907
     1085.00      993.00     1948.00     109.182
     1096.00      539.00      963.00      61.907
     1104.00      969.00     1948.00      99.051
     1118.00      840.00      105.00     675.350
     1122.00     1262.00     1937.00      82.168
     1138.00     1343.00      111.00     281.396
     1140.00     1799.00      514.00      84.419
     1135.50      571.50      108.50     173.340
     1154.00     1084.00      109.00     115.935
     1160.00      531.00     1296.00    2041.809
     1167.00      685.00      578.00     137.321
     1166.00     1003.00     1704.00     121.563
     1176.00     1529.00      772.00    1480.143
     1190.00     1536.00      787.00    3067.216
     1225.00     1521.00      757.00     254.382
     1240.00     1531.00      775.00    1305.677
     1247.00     1530.00      774.00    1220.133
     1275.00     1529.00      770.00    2945.653
     1167.00     1753.00     1456.00     122.689
     1161.50     1813.00      535.50     112.558
     1166.00     1813.00      534.00     112.558
     1167.00      279.00     1288.00      66.409
     1204.00      281.00     1293.00     163.210
     1180.00       58.00      370.00     109.182
     1170.00     1238.00     1700.00     149.703
     1188.00      307.00      371.00     210.484
     1197.00      323.00      354.00     244.252
     1177.00     1061.00      348.00      83.293
     1182.00      304.00      588.00      63.033
     1181.00      773.00     1961.00      74.289
     1197.00     1511.00     1464.00     562.792
     1184.00       71.00      349.00      93.423
     1188.00       72.00      347.00      93.423
     1194.00     1017.00     1948.00     115.935
     1200.00      858.00     1489.00      67.535
     1204.00      537.00      979.00      57.405
     1206.00      537.00      977.00      57.405
     1217.00      537.00      977.00      69.786
     1223.00      536.00      978.00      64.158
     1226.00      547.00      582.00     311.787
     1232.00      549.00      580.00     296.029
     1217.00      997.00     1705.00     139.572
     1234.00      772.00     1721.00     315.164
     1232.00      537.00      978.00      66.409
     1240.00      537.00      977.00      63.033
     1251.00      537.00      977.00      69.786
     1234.00     1262.00     1691.00     141.824
     1237.33     1302.33      339.67     157.582
     1240.00     1051.00      351.00     147.451
     1254.33     1774.67     1415.33     141.824
     1254.00     1785.00      493.00     127.191
     1254.00      755.00     1716.00     343.303
     1262.00      273.00     1759.00     504.262
     1260.00     1273.00     1687.00     184.596
     1262.00     1304.00      102.00     283.647
     1266.00      794.00      114.00    1015.277
     1275.00     1027.00     1998.00     114.810
     1275.00     1276.00     1480.00     149.703
     1275.00       37.00      399.00     104.679
     1281.00       38.00      397.00     127.191
     1288.00      787.00      567.00    2633.866
     1276.00     1031.00     1997.00     114.810
     1295.00     1271.00     1483.00    3514.073
     1276.00     1507.00     1470.00     489.629
     1276.00     1520.00     1454.00     292.652
     1339.00     1521.00     1453.00     678.727
     1358.00     1531.50     1440.00      60.782
     1276.00     1760.00     1936.00     101.303
     1288.00     1786.00     1268.00     173.340
     1297.00     1783.00     1270.00     155.331
     1283.00     2029.00     1238.00     148.577
     1307.00     2032.00     1227.00      86.670
     1276.00     2033.00     1211.00     142.949
     1282.00     2034.00     1214.00     144.075
     1291.00     2033.00     1217.00     144.075
     1297.00     2032.00     1220.00     138.447
     1305.00     2031.00     1222.00     133.944
     1320.00     2031.00     1229.50     102.428
     1340.00     2029.00     1240.00      56.279
     1340.00     2036.00     1203.00     207.107
     1293.67     1056.33      351.00     145.200
     1309.00      780.00     1724.00      97.926
     1312.00      780.00     1724.50      97.926
     1325.00      778.00     1723.00     382.699
     1308.00     1032.50     1704.50     136.196
     1312.00     1042.00      349.00      64.158
     1319.00      794.00      362.00     270.140
     1310.00     1530.00     1944.00      69.786
     1343.00     1275.00     1480.00    3144.882
     1357.00     1266.00     1486.00    4063.358
     1367.00     1279.50     1478.00    1675.995
     1385.00     1283.00     1475.00     639.332
     1339.00     1041.00     1998.00     287.024
     1342.00      779.00      520.00      74.289
     1340.00      792.00     1524.00      81.042
     1361.00      774.00     1527.00     187.973
     1363.00      767.00     1510.00     217.238
     1344.00     1299.00      341.00     404.085
     1349.00      782.00       79.00     149.703
     1362.00     1277.00      333.00     169.963
     1368.00     1032.00     1508.00     751.890
     1367.00      796.50     2030.50      59.656
     1376.00     1787.00      304.00     159.833
     1378.00     1789.50      304.50     159.833
     1376.00      282.00      128.00      82.168
     1376.00     1040.00     1998.00     298.280
     1394.00      529.00      109.00      77.665
     1392.00      535.00      598.00     350.057
     1392.00      549.00      583.00     150.828
     1434.00      530.00      603.00     372.568
     1447.00      532.00      602.00    1017.528
     1392.00      536.00      988.00     122.689
     1398.00      537.00      987.00     126.065
     1405.00      536.00      988.00     122.689
     1413.00      536.00      988.00     121.563
     1419.00      535.00      990.00     122.689
     1427.00      535.00      990.00     121.563
     1433.00      535.00      992.00     132.819
     1441.00      535.00      996.00     136.196
     1447.00      536.00      993.00     141.824
     1455.00      535.00      995.00     150.828
     1462.00      535.00      994.00     145.200
     1469.00      535.00      994.00     162.084
     1476.00      535.00      994.00     167.712
     1483.00      535.00      994.00     178.968
     1498.00      535.00      994.00     203.731
     1504.00      535.00      994.00     212.735
     1411.00      780.00      574.00    4192.800
     1423.00      788.00      571.00    4934.560
     1438.00      776.00      575.00    2324.331
     1452.00      771.00      577.00    1381.092
     1491.00      774.00      576.00    6882.946
     1392.00     1276.00     1478.00     363.564
     1406.00     1282.00     1476.00     933.109
     1426.00     1281.00     1477.00    3980.065
     1453.00     1287.00     1473.00    4829.881
     1397.00     1253.00     1465.00      84.419
     1392.00     1781.00      788.00     131.693
     1398.00     1785.00     1267.00     399.582
     1399.00     1275.00      328.00     122.689
     1413.00     1277.00      330.00     509.890
     1419.00      773.00       85.00     243.126
     1420.00      768.00     1512.00     366.940
     1425.00     1258.00     1461.00     169.963
     1429.00     1779.00      298.00     454.736
     1431.00      784.00     1484.00      83.293
     1448.00     1768.00      748.00      93.423
     1452.00     1767.00      747.00      93.423
     1447.00     1015.00       58.00     339.926
     1454.00      768.00      527.00     231.870
     1448.00     1264.00      570.00      66.409
     1456.00     1020.00      548.00     819.425
     1460.00      278.00      637.00     178.968
     1464.50      784.00     1535.00    3798.846
     1482.00      801.00     1543.00    1606.208
     1505.00      799.00     1541.00     517.769
     1470.00      782.00      521.00      84.419
     1473.00     1042.00     1507.00     209.359
     1489.00     1041.00     1507.00     683.229
     1468.00      795.00     1488.00      68.661
     1476.00      786.50       82.00     316.289
     1481.00      581.00     1956.00      65.284
